OP,filename,slice,cell_ch,cell_ID,day,treatment,hrs_incubation,repatch,hrs_after_OP,Rs,Rin,resting_potential,max_spikes,Rheobase,AP_heigth,TH,max_depol,max_repol,membra_time_constant_tau,capacitance,comments,rheo_ramp,AP_halfwidth,Rheobse_ramp,Unnamed: 27,rheos_ramp,comment, ,high K concentration,RMP_from_char
OP230420,23420003.abf,S1,1,23420S1c1,D1,TTX,0,no,10.41638889,6.675642783,39.02530066,-74.28588867,24,200,80.74951172,-35.27832031,336.1816406,-60.79101563,19.4,510.6017671,0,753.3801127,1.151008709,,,,,,8 mM,-61.82855423
OP230420,23420003.abf,S1,3,23420S1c3,D1,TTX,0,no,10.41638889,7.86717388,48.728367,-69.57397461,26,300,78.44848633,-32.04345703,350.0976563,-67.13867188,17.3,393.3979181,1,585.1028368,1.006321207,,,,,,8 mM,-60.46029755
OP230420,23420003.abf,S1,6,23420S1c6,D1,TTX,0,no,10.41638889,8.820133954,35.97108195,-54.95605469,22,300,76.66015625,-29.82788086,270.6298828,-52.24609375,14.85,426.0987741,3,173.9157972,1.266334769,,,,,,8 mM,-59.61597931
OP230420,23420003.abf,S1,7,23420S1c7,D1,TTX,0,yes,10.41638889,7.269194964,39.18610115,-69.26879883,24,300,75.03051758,-29.69970703,242.5537109,-71.41113281,17.15,478.2733617,4,598.079936,0.994396133,,,,,,8 mM,-61.17383881
OP230420,23420003.abf,S1,8,23420S1c8,D1,TTX,0,yes,10.41638889,6.000399595,31.59991662,-70.55053711,22,350,81.01196289,-33.06884766,309.4482422,-61.40136719,16.65,575.5139241,5,786.9278976,1.182829516,,,,,,8 mM,-60.9563504
OP230420,23420013.abf,S2,1,23420S2c1,D1,high K,0,yes,12.18805556,5.97762954,34.68344725,-67.92602539,21,450,71.74072266,-27.72216797,288.9404297,-46.02050781,16.35,437.7098039,6; exclude; Rs_end > 30,687.5695857,1.386205688,,,,,,8 mM,-59.48724503
OP230420,23420013.abf,S2,2,23420S2c2,D1,high K,0,yes,12.18805556,6.474840398,32.07293365,-69.54956055,23,350,83.7890625,-29.89501953,413.6962891,-70.55664063,16.4,516.7261538,7,201.3400447,1.027804266,,,,,,8 mM,-60.52478302
OP230420,23420013.abf,S2,5,23420S2c5,D1,high K,0,no,12.18805556,8.999843286,44.60996072,-75.38452148,28,200,84.31396484,-36.4074707,395.1416016,-76.29394531,21,445.1021992,9,192.7797593,1.011750103,,,,,,8 mM,-61.64437424
OP230420,23420013.abf,S2,7,23420S2c7,D1,high K,0,yes,12.18805556,7.407777278,29.9454656,-70.00732422,25,300,89.69726563,-36.01074219,469.4824219,-79.34570313,16.75,585.1428571,11,730.2643421,0.95473797,,,,,,8 mM,-61.72656616
OP230420,23420013.abf,S2,8,23420S2c8,D1,high K,0,no,12.18805556,10.15496886,33.77378731,-69.79370117,22,300,86.32202148,-36.98730469,432.7392578,-61.03515625,18.3,644.0970999,12; exclude; Rs_end > 30,974.7058235,1.122725061,,,,,,8 mM,-61.19957474
OP230420,23420061.abf,S1_D2,7,23420S1c7,D2,TTX,19,yes,29.63333333,11.28507542,44.49731647,-56.93359375,19,400,50.72631836,-24.37133789,134.0332031,-39.79492188,20.95,680.7036192,28,597.9799327,1.073795921,,,,,,8 mM,-61.39209091
